Store_0,Store_1,Store_2,Store_3,Store_4,Store_5,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Year,Season_0,Season_1,Season_2
0,0,0,0,0,1,2010-02-05,1.0574197165125394,0,-0.9951355648687328,-1.7137999781197326,1.004175220763895,0.05696365534901425,2,2010,0,0,1
0,0,0,0,0,1,2010-02-12,1.054347963793769,1,-1.2011702151599246,-1.7660893779932585,1.007880381139025,0.05696365534901425,2,2010,0,0,1
0,0,0,0,0,1,2010-02-19,1.001205911680396,0,-1.124178319524795,-1.8401660278140874,1.0090739958364634,0.05696365534901425,2,2010,0,0,1
0,0,0,0,0,1,2010-02-26,0.6428284172699374,0,-0.7609066992745362,-1.7377659530617655,1.0098490191641099,0.05696365534901425,2,2010,0,0,1
0,0,0,0,0,1,2010-03-05,0.8999137201579602,0,-0.7679552531002877,-1.5983275533990298,1.0106240424917567,0.05696365534901425,3,2010,0,1,0
0,0,0,0,0,1,2010-03-12,0.6956598847150636,0,-0.15581546315619518,-1.5068211036203598,1.011399065819403,0.05696365534901425,3,2010,0,1,0
0,0,0,0,0,1,2010-03-19,0.754091338858388,0,-0.3298605230074385,-1.391348678899656,1.0072061159260925,0.05696365534901425,3,2010,0,1,0
0,0,0,0,0,1,2010-03-26,0.63344075777641,0,-0.4995680112736039,-1.3652039789628931,1.0021851692254267,0.05696365534901425,3,2010,0,1,0
0,0,0,0,0,1,2010-04-02,0.9710815025066616,0,0.08708854560815708,-1.393527403894387,0.9971642250658199,-0.10190706006146753,4,2010,0,1,0
0,0,0,0,0,1,2010-04-09,0.8832775847485903,0,0.2817370704885193,-1.2824124291631442,0.9921432809062132,-0.10190706006146753,4,2010,0,1,0
0,0,0,0,0,1,2010-04-16,0.742648401669766,0,0.30667810710271587,-1.1996208793633953,0.9887342607561673,-0.10190706006146753,4,2010,0,1,0
0,0,0,0,0,1,2010-04-23,0.6100963160433787,0,0.2264330327787787,-1.2279443042948883,0.9874744743129087,-0.10190706006146753,4,2010,0,1,0
0,0,0,0,0,1,2010-04-30,0.670070132196147,0,0.3657775199493999,-1.2606251792158423,0.9862146878696494,-0.10190706006146753,4,2010,0,1,0
0,0,0,0,0,1,2010-05-07,0.9870065023354186,0,0.6444664942906431,-1.1407953045056785,0.9849549014263909,-0.10190706006146753,5,2010,0,1,0
0,0,0,0,0,1,2010-05-14,0.7926077893602227,0,0.7653763022246847,-1.0993995296058034,0.984890300055706,-0.10190706006146753,5,2010,0,1,0
0,0,0,0,0,1,2010-05-21,0.624991958150119,0,0.855380912615047,-1.1604038294582504,0.9919968142025885,-0.10190706006146753,5,2010,0,1,0
0,0,0,0,0,1,2010-05-28,0.6824198731291741,0,1.0722594918689328,-1.3063784041051771,0.999103325808411,-0.10190706006146753,5,2010,0,1,0
0,0,0,0,0,1,2010-06-04,1.0075082269425981,0,1.0858144030723007,-1.42402955382061,1.0062098374142336,-0.10190706006146753,6,2010,0,1,1
0,0,0,0,0,1,2010-06-11,0.8782140995290156,0,1.0717172954207985,-1.5046423786256289,1.013316351561116,-0.10190706006146753,6,2010,0,1,1
0,0,0,0,0,1,2010-06-18,0.8086138066536469,0,1.271245588334373,-1.5721828534622668,1.0132573176530901,-0.10190706006146753,6,2010,0,1,1
0,0,0,0,0,1,2010-06-25,0.6658365443787518,0,1.2837161066414717,-1.5373232535465828,1.010332067064161,-0.10190706006146753,6,2010,0,1,1
0,0,0,0,0,1,2010-07-02,0.7893590102914898,0,1.0977427249312643,-1.5024636536308988,1.0074068164752323,-0.11310264738905176,7,2010,0,1,1
0,0,0,0,0,1,2010-07-09,0.8844394198472149,0,1.074428277661472,-1.5612892284886157,1.0044815658863033,-0.11310264738905176,7,2010,0,1,1
0,0,0,0,0,1,2010-07-16,0.7123122874106461,0,1.2191947293134409,-1.6026850033884898,1.0042775543358653,-0.11310264738905176,7,2010,0,1,1
0,0,0,0,0,1,2010-07-23,0.5991257858080735,0,1.2305808547242694,-1.6353658783094436,1.0077018589623568,-0.11310264738905176,7,2010,0,1,1
0,0,0,0,0,1,2010-07-30,0.575950041857989,0,1.148166994607793,-1.5656466784780758,1.0111261635888484,-0.11310264738905176,7,2010,0,1,1
0,0,0,0,0,1,2010-08-06,0.9897295184608705,0,1.4366155050154608,-1.5939701034095697,1.014550468215339,-0.11310264738905176,8,2010,0,1,1
0,0,0,0,0,1,2010-08-13,0.8173919390841466,0,1.4279403618453055,-1.452352978752103,1.0179747753828905,-0.11310264738905176,8,2010,0,1,1
0,0,0,0,0,1,2010-08-20,0.8259734287313102,0,1.4089634861605909,-1.51335727860455,1.0170585250175268,-0.11310264738905176,8,2010,0,1,1
0,0,0,0,0,1,2010-08-27,0.7126737826598178,0,1.3314293940773263,-1.6113999033674107,1.016142277193222,-0.11310264738905176,8,2010,0,1,1
0,0,0,0,0,1,2010-09-03,0.8739655380113481,0,1.1140086183753055,-1.7029063531460815,1.0152260293689181,-0.11310264738905176,9,2010,1,0,0
0,0,0,0,0,1,2010-09-10,0.8160149434308432,1,0.9773751134453578,-1.7290510530828445,1.0143097815446136,-0.11310264738905176,9,2010,1,0,0
0,0,0,0,0,1,2010-09-17,0.6794228648692762,0,1.1628062987074301,-1.6920127281724306,1.0150027133849715,-0.11310264738905176,9,2010,1,0,0
0,0,0,0,0,1,2010-09-24,0.5401627741652686,0,1.0993693142756684,-1.6005062783937598,1.0169025369617422,-0.11310264738905176,9,2010,1,0,0
0,0,0,0,0,1,2010-10-01,0.7200925511905892,0,0.6086815287137521,-1.6462595032830947,1.0188023579974521,-0.08591336387920413,10,2010,1,0,0
0,0,0,0,0,1,2010-10-08,0.8173957844012578,0,0.1770931559985195,-1.5808977534411877,1.0207021790331618,-0.08591336387920413,10,2010,1,0,0
0,0,0,0,0,1,2010-10-15,0.7308658184301208,0,0.35330700164230205,-1.391348678899656,1.0224044148594045,-0.08591336387920413,10,2010,1,0,0
0,0,0,0,0,1,2010-10-22,0.528933331817922,0,0.4986156497424051,-1.380455053926005,1.0236126914735657,-0.08591336387920413,10,2010,1,0,0
0,0,0,0,0,1,2010-10-29,0.5976089588306911,0,0.48668732788344143,-1.4000635788785771,1.0248209680877272,-0.08591336387920413,10,2010,1,0,0
0,0,0,0,0,1,2010-11-05,0.894336415514612,0,-0.10430680058339716,-1.458889153736294,1.0260292447018884,-0.08591336387920413,11,2010,1,0,0
0,0,0,0,0,1,2010-11-12,0.7930117957418827,0,-0.05713570959567714,-1.3739188789418142,1.0272375213160498,-0.08591336387920413,11,2010,1,0,0
0,0,0,0,0,1,2010-11-19,0.7740593263623787,0,-0.501736797066143,-1.2802337041684142,1.0243338443272905,-0.08591336387920413,11,2010,1,0,0
0,0,0,0,0,1,2010-11-26,1.6101764492276631,1,0.20908274643846742,-1.358667803978703,1.0207448408910238,-0.08591336387920413,11,2010,1,0,0
0,0,0,0,0,1,2010-12-03,0.8879119006819057,0,-0.6177668369669715,-1.417493378836419,1.0171558399958176,-0.08591336387920413,12,2010,0,0,1
0,0,0,0,0,1,2010-12-10,1.12639329358019,0,-0.7771725927185779,-1.1233655045478366,1.0135668365595516,-0.08591336387920413,12,2010,0,0,1
0,0,0,0,0,1,2010-12-17,1.4957221270811079,0,-0.5868616394232928,-1.0667186546848495,1.0120259326384649,-0.08591336387920413,12,2010,0,0,1
0,0,0,0,0,1,2010-12-24,2.3762736434824987,0,-0.4518547238377493,-1.0296803297744357,1.012021099542172,-0.08591336387920413,12,2010,0,0,1
0,0,0,0,0,1,2010-12-31,0.5676806785499876,1,-0.6633113386102878,-0.9054930050748118,1.0120162689869396,-0.08591336387920413,12,2010,0,0,1
0,0,0,0,0,1,2011-01-07,0.7048579718470398,0,-0.6719864817804431,-0.8335950802487139,1.0120114358906476,-0.13709319166244663,1,2011,0,0,1
0,0,0,0,0,1,2011-01-14,0.6096671999181852,0,-1.3697933105298206,-0.8183440052856019,1.0133497868297892,-0.13709319166244663,1,2011,0,0,1
0,0,0,0,0,1,2011-01-21,0.496950606698825,0,-0.9013355793414274,-0.7464460804595041,1.0227472216530524,-0.13709319166244663,1,2011,0,0,1
0,0,0,0,0,1,2011-01-28,0.4783334064425727,0,-0.9127217047522564,-0.759518430427886,1.0321446564763164,-0.13709319166244663,1,2011,0,0,1
0,0,0,0,0,1,2011-02-04,0.9917457404927705,0,-0.9973043506612717,-0.805271655317221,1.0415420938406408,-0.13709319166244663,2,2011,0,0,1
0,0,0,0,0,1,2011-02-11,1.0679173081838669,1,-1.3161158621644837,-0.7333737304911231,1.0509395286639047,-0.13709319166244663,2,2011,0,0,1
0,0,0,0,0,1,2011-02-18,1.1338863812813056,0,-0.17912991042598786,-0.6832630556123271,1.0588468172413923,-0.13709319166244663,2,2011,0,0,1
0,0,0,0,0,1,2011-02-25,0.7262428966852963,0,0.12124692184064384,-0.6396885557177222,1.066158049353417,-0.13709319166244663,2,2011,0,0,1
0,0,0,0,0,1,2011-03-04,1.0442579402955274,0,-0.058762298940081344,-0.15383288189287797,1.0734692814654427,-0.13709319166244663,3,2011,0,1,0
0,0,0,0,0,1,2011-03-11,0.8970517941669073,0,-0.3851645607171792,0.21872909220599443,1.0807805135774675,-0.13709319166244663,3,2011,0,1,0
0,0,0,0,0,1,2011-03-18,0.9389186676957716,0,0.11365617156675781,0.2819121170531713,1.0871752183485783,-0.13709319166244663,3,2011,0,1,0
0,0,0,0,0,1,2011-03-25,0.8756292135735286,0,0.504579810671887,0.2492312421322174,1.093203311675112,-0.13709319166244663,3,2011,0,1,0
0,0,0,0,0,1,2011-04-01,0.7940488972591879,0,-0.08099235331360445,0.36034621686346024,1.099231405001645,-0.16908058402697293,4,2011,0,1,0
0,0,0,0,0,1,2011-04-08,1.0052659640578339,0,0.389091967219193,0.573861266347024,1.105259498328178,-0.16908058402697293,4,2011,0,1,0
0,0,0,0,0,1,2011-04-15,0.9089197717989919,0,0.5750653489293996,0.8374869907093835,1.110785343504615,-0.16908058402697293,4,2011,0,1,0
0,0,0,0,0,1,2011-04-22,0.9176573423360921,0,0.6683231380085705,0.9769253903721192,1.1150555746584625,-0.16908058402697293,4,2011,0,1,0
0,0,0,0,0,1,2011-04-29,0.7232134424547497,0,0.6162722789876381,0.9834615653563102,1.1193258032712492,-0.16908058402697293,4,2011,0,1,0
